strategy,profile,symbol,ma_len,atr_len,z_entry,total_return,max_drawdown,calmar,volatility_ann,sharpe_ann,pf,trade_count,win_rate,avg_trade,pnl_sum,pnl_mean,pnl_std
meanrev_v2,conservative,GAZP,32,10,1.8,-0.5975101937328053,-0.6011438017818918,-0.993955509416689,0.0077723831736995035,-1.018415536834126,0.495193917781491,2394,0.4949874686716792,-249.58654708972702,-597510.1937328065,-249.58654708972702,1135.2808707742802
meanrev_v2,conservative,GAZP,32,10,2.0,-0.5758713336909838,-0.5786213583913098,-0.9952472810406244,0.007364062795975992,-1.0132184781200728,0.46872901120198934,2152,0.48652416356877326,-267.5982033880034,-575871.3336909834,-267.5982033880034,1147.0501244075579
meanrev_v2,conservative,GAZP,32,10,2.2,-0.5269783096875816,-0.531890663412275,-0.9907643542881938,0.007009475260309453,-0.9289425554790887,0.4773660367408514,1881,0.48963317384370014,-280.15859100881534,-526978.3096875817,-280.15859100881534,1221.9685192235684
meanrev_v2,conservative,GAZP,32,10,2.5,-0.4541635516236324,-0.45845416561974695,-0.9906411276898,0.006380514980529699,-0.825258570048213,0.4847385448073105,1526,0.47771952817824376,-297.61700630644464,-454163.55162363447,-297.61700630644464,1304.104108237949
meanrev_v2,conservative,GAZP,32,14,1.8,-0.5850615349854,-0.5873947333848804,-0.9960278867567722,0.008549958960816745,-0.8939641635849842,0.5196217444484951,2321,0.5079707022834985,-252.07304394028398,-585061.5349853991,-252.07304394028398,1373.6784336345468
meanrev_v2,conservative,GAZP,32,14,2.0,-0.5301628838554711,-0.5349067222656798,-0.9911314660804496,0.007300095483352572,-0.8997557337812947,0.5141235738927926,2077,0.5079441502166586,-255.25415688756385,-530162.88385547,-255.25415688756385,1214.1993307216221
meanrev_v2,conservative,GAZP,32,14,2.2,-0.4930010554852535,-0.49811872864505913,-0.9897259973064528,0.006919114415321277,-0.8536365024247347,0.5045968226594288,1837,0.4986390854654328,-268.3729207867471,-493001.0554852544,-268.3729207867471,1255.115874758923
meanrev_v2,conservative,GAZP,32,14,2.5,-0.4294525702019565,-0.4337022800797037,-0.9902013199539412,0.006274784175784719,-0.7776643796279247,0.49900170408680145,1487,0.48486886348352387,-288.80468742565944,-429452.57020195556,-288.80468742565944,1333.4319525747785
meanrev_v2,conservative,GAZP,32,20,1.8,-0.5690087070005478,-0.5706414629656829,-0.9971387358418552,0.007599112986684425,-0.9632063341548899,0.5004762665502861,2229,0.49439210408254824,-255.27532839863122,-569008.707000549,-255.27532839863122,1175.2985390031954
meanrev_v2,conservative,GAZP,32,20,2.0,-0.5186168161638207,-0.5241951787630994,-0.9893582336784525,0.007133040754210236,-0.8912820584157835,0.5027770860869871,1977,0.5098634294385432,-262.3251472755795,-518616.81616382074,-262.3251472755795,1214.9679855058112
meanrev_v2,conservative,GAZP,32,20,2.2,-0.47266527714620954,-0.48084627993225515,-0.9829862408684992,0.006619658676409111,-0.8406915744660469,0.49752953477741363,1764,0.4965986394557823,-267.9508373844715,-472665.2771462078,-267.9508373844715,1236.0412712243892
meanrev_v2,conservative,GAZP,32,20,2.5,-0.39838594870103317,-0.4068918449472372,-0.9790954369033692,0.00583730962374284,-0.7571010411183431,0.49380479664207017,1391,0.4852624011502516,-286.40255118694006,-398385.9487010336,-286.40255118694006,1289.8227142478192
meanrev_v2,conservative,GAZP,48,10,1.8,-0.6425292136212241,-0.6438882350099271,-0.9978893520415355,0.008793257208776318,-1.0169890279434535,0.524300733877679,2513,0.4934341424592121,-255.68213832917846,-642529.2136212256,-255.68213832917846,1202.1381734366082
