dt,ts,symbol,side,signal_conf,regime_conf
2024-02-12 09:50:00+00:00,2024-02-12 09:50:00+00:00,SBER,BUY,0.2756534218788147,2.1891307830810547
2024-02-12 10:00:00+00:00,2024-02-12 10:00:00+00:00,SBER,BUY,0.2756534218788147,2.1891307830810547
2024-02-12 10:10:00+00:00,2024-02-12 10:10:00+00:00,SBER,BUY,0.2756534218788147,2.1891307830810547
2024-02-12 10:20:00+00:00,2024-02-12 10:20:00+00:00,SBER,BUY,0.2756534218788147,2.1891307830810547
2024-02-12 10:30:00+00:00,2024-02-12 10:30:00+00:00,SBER,BUY,0.2756534218788147,2.1891307830810547
2024-02-12 10:40:00+00:00,2024-02-12 10:40:00+00:00,SBER,BUY,0.2756534218788147,2.1891307830810547
2024-02-12 10:50:00+00:00,2024-02-12 10:50:00+00:00,SBER,BUY,0.2756534218788147,2.0959293842315674
2024-02-12 11:00:00+00:00,2024-02-12 11:00:00+00:00,SBER,BUY,0.2756534218788147,2.1182503700256348
2024-02-12 11:10:00+00:00,2024-02-12 11:10:00+00:00,SBER,BUY,0.2756534218788147,2.0317418575286865
2024-02-12 11:20:00+00:00,2024-02-12 11:20:00+00:00,SBER,BUY,0.3403334319591522,1.9451971054077148
2024-02-12 11:30:00+00:00,2024-02-12 11:30:00+00:00,SBER,BUY,0.17326772212982178,1.9563360214233398
2024-02-12 11:40:00+00:00,2024-02-12 11:40:00+00:00,SBER,SELL,0.29526597261428833,1.711337924003601
2024-02-12 12:00:00+00:00,2024-02-12 12:00:00+00:00,SBER,SELL,0.18992210924625397,1.3613146543502808
2024-02-12 12:10:00+00:00,2024-02-12 12:10:00+00:00,SBER,SELL,0.18371433019638062,1.2252248525619507
2024-02-12 12:20:00+00:00,2024-02-12 12:20:00+00:00,SBER,BUY,0.2983027994632721,1.0378133058547974
2024-02-12 12:30:00+00:00,2024-02-12 12:30:00+00:00,SBER,BUY,0.9957948923110962,0.9641878604888916
2024-02-12 12:40:00+00:00,2024-02-12 12:40:00+00:00,SBER,BUY,0.7112332582473755,0.8141556978225708
2024-02-12 12:50:00+00:00,2024-02-12 12:50:00+00:00,SBER,BUY,1.2136459350585938,0.7753564119338989
2024-02-12 13:00:00+00:00,2024-02-12 13:00:00+00:00,SBER,BUY,2.2577579021453857,0.9330887198448181
2024-02-12 13:10:00+00:00,2024-02-12 13:10:00+00:00,SBER,BUY,2.2982654571533203,1.0114754438400269
2024-02-12 13:20:00+00:00,2024-02-12 13:20:00+00:00,SBER,BUY,2.2982094287872314,0.9255242347717285
2024-02-12 13:30:00+00:00,2024-02-12 13:30:00+00:00,SBER,BUY,1.731230616569519,1.011875867843628
2024-02-12 13:40:00+00:00,2024-02-12 13:40:00+00:00,SBER,BUY,1.4014054536819458,1.0080198049545288
2024-02-12 13:50:00+00:00,2024-02-12 13:50:00+00:00,SBER,BUY,1.2786983251571655,1.0080198049545288
2024-02-12 14:00:00+00:00,2024-02-12 14:00:00+00:00,SBER,BUY,1.6063891649246216,1.0399888753890991
2024-02-12 14:10:00+00:00,2024-02-12 14:10:00+00:00,SBER,BUY,1.333762526512146,1.0557585954666138
2024-02-12 14:20:00+00:00,2024-02-12 14:20:00+00:00,SBER,BUY,1.187657356262207,1.0314165353775024
2024-02-12 14:30:00+00:00,2024-02-12 14:30:00+00:00,SBER,BUY,1.2840967178344727,1.024412989616394
2024-02-12 14:40:00+00:00,2024-02-12 14:40:00+00:00,SBER,BUY,0.6641520261764526,0.97944575548172
2024-02-12 14:50:00+00:00,2024-02-12 14:50:00+00:00,SBER,BUY,0.13659463822841644,0.8339703679084778
2024-02-12 15:00:00+00:00,2024-02-12 15:00:00+00:00,SBER,BUY,0.6295144557952881,0.9990229606628418
2024-02-12 15:10:00+00:00,2024-02-12 15:10:00+00:00,SBER,BUY,0.37418580055236816,0.9886423349380493
2024-02-12 15:30:00+00:00,2024-02-12 15:30:00+00:00,SBER,BUY,0.24715553224086761,1.009987235069275
2024-02-12 15:40:00+00:00,2024-02-12 15:40:00+00:00,SBER,BUY,0.48850855231285095,0.919227659702301
2024-02-12 15:50:00+00:00,2024-02-12 15:50:00+00:00,SBER,BUY,0.48895183205604553,0.9174443483352661
