dt,side,conf
2022-02-15 08:50:00+00:00,-1,0.75
2022-02-15 09:10:00+00:00,1,0.75
2022-02-15 18:00:00+00:00,-1,0.75
2022-02-15 23:00:00+00:00,1,0.75
2022-02-16 10:20:00+00:00,-1,0.75
2022-02-16 14:30:00+00:00,1,0.75
2022-02-16 15:10:00+00:00,-1,0.75
2022-02-16 16:20:00+00:00,1,0.75
2022-02-16 17:00:00+00:00,-1,0.75
2022-02-16 18:10:00+00:00,1,0.75
2022-02-16 20:30:00+00:00,-1,0.75
2022-02-16 20:40:00+00:00,1,0.75
2022-02-17 06:50:00+00:00,-1,0.75
2022-02-17 19:20:00+00:00,1,0.75
2022-02-17 22:00:00+00:00,-1,0.75
2022-02-18 07:00:00+00:00,1,0.75
2022-02-18 10:30:00+00:00,-1,0.75
2022-02-21 07:00:00+00:00,1,0.75
2022-02-21 10:20:00+00:00,-1,0.75
2022-02-21 20:00:00+00:00,1,0.75
2022-02-21 20:20:00+00:00,-1,0.75
2022-02-22 07:30:00+00:00,1,0.75
2022-02-22 09:50:00+00:00,-1,0.75
2022-02-22 15:30:00+00:00,1,0.75
2022-02-22 20:40:00+00:00,-1,0.75
2022-02-22 21:20:00+00:00,1,0.75
2022-02-24 06:50:00+00:00,-1,0.75
2022-02-24 15:50:00+00:00,1,0.75
2022-02-24 16:50:00+00:00,-1,0.75
2022-02-24 19:30:00+00:00,1,0.75
2022-02-25 13:50:00+00:00,-1,0.75
2022-02-25 14:40:00+00:00,1,0.75
2022-02-25 18:00:00+00:00,-1,0.75
2022-03-24 09:50:00+00:00,1,0.75
2022-03-25 10:20:00+00:00,-1,0.75
2022-03-29 10:20:00+00:00,1,0.75
2022-03-29 12:30:00+00:00,-1,0.75
2022-03-30 13:20:00+00:00,1,0.75
2022-04-01 16:00:00+00:00,-1,0.75
2022-04-01 17:10:00+00:00,1,0.75
2022-04-01 17:20:00+00:00,-1,0.75
2022-04-04 16:20:00+00:00,1,0.75
2022-04-05 10:00:00+00:00,-1,0.75
2022-04-06 10:30:00+00:00,1,0.75
2022-04-06 17:30:00+00:00,-1,0.75
2022-04-08 09:50:00+00:00,1,0.75
2022-04-08 10:00:00+00:00,-1,0.75
2022-04-08 17:20:00+00:00,1,0.75
2022-04-11 13:50:00+00:00,-1,0.75
2022-04-11 14:20:00+00:00,1,0.75
2022-04-11 14:50:00+00:00,-1,0.75
2022-04-12 15:40:00+00:00,1,0.75
2022-04-12 15:50:00+00:00,-1,0.75
2022-04-12 17:50:00+00:00,1,0.75
2022-04-13 13:10:00+00:00,-1,0.75
2022-04-15 11:20:00+00:00,1,0.75
2022-04-15 12:00:00+00:00,-1,0.75
2022-04-15 17:50:00+00:00,1,0.75
2022-04-18 10:20:00+00:00,-1,0.75
2022-04-19 17:00:00+00:00,1,0.75
2022-04-20 10:40:00+00:00,-1,0.75
2022-04-20 11:20:00+00:00,1,0.75
2022-04-20 15:00:00+00:00,-1,0.75
2022-04-22 16:10:00+00:00,1,0.75
2022-04-22 17:00:00+00:00,-1,0.75
2022-04-22 18:20:00+00:00,1,0.75
2022-04-25 10:00:00+00:00,-1,0.75
2022-04-25 12:00:00+00:00,1,0.75
2022-04-28 14:10:00+00:00,-1,0.75
2022-04-29 10:20:00+00:00,1,0.75
2022-05-04 10:40:00+00:00,-1,0.75
2022-05-04 14:30:00+00:00,1,0.75
2022-05-04 17:30:00+00:00,-1,0.75
2022-05-04 18:00:00+00:00,1,0.75
2022-05-04 18:20:00+00:00,-1,0.75
2022-05-05 10:20:00+00:00,1,0.75
2022-05-05 10:50:00+00:00,-1,0.75
2022-05-05 12:00:00+00:00,1,0.75
2022-05-05 12:20:00+00:00,-1,0.75
2022-05-05 13:20:00+00:00,1,0.75
2022-05-06 10:10:00+00:00,-1,0.75
2022-05-06 14:10:00+00:00,1,0.75
2022-05-06 18:40:00+00:00,-1,0.75
2022-05-11 10:10:00+00:00,1,0.75
2022-05-11 11:20:00+00:00,-1,0.75
2022-05-11 17:50:00+00:00,1,0.75
2022-05-12 10:00:00+00:00,-1,0.75
2022-05-12 13:00:00+00:00,1,0.75
2022-05-12 15:40:00+00:00,-1,0.75
2022-05-13 12:50:00+00:00,1,0.75
2022-05-13 18:40:00+00:00,-1,0.75
2022-05-16 10:00:00+00:00,1,0.75
2022-05-16 17:10:00+00:00,-1,0.75
2022-05-17 12:10:00+00:00,1,0.75
2022-05-17 13:10:00+00:00,-1,0.75
2022-05-17 16:30:00+00:00,1,0.75
2022-05-17 17:20:00+00:00,-1,0.75
2022-05-18 09:50:00+00:00,1,0.75
2022-05-18 13:10:00+00:00,-1,0.75
2022-05-20 10:00:00+00:00,1,0.75
2022-05-20 10:30:00+00:00,-1,0.75
2022-05-24 15:00:00+00:00,1,0.75
2022-05-24 17:30:00+00:00,-1,0.75
2022-05-24 18:00:00+00:00,1,0.75
2022-05-24 18:40:00+00:00,-1,0.75
2022-05-25 10:00:00+00:00,1,0.75
2022-05-26 13:50:00+00:00,-1,0.75
2022-05-26 16:00:00+00:00,1,0.75
2022-05-27 15:40:00+00:00,-1,0.75
