dt,side,conf
2022-01-17 07:00:00+00:00,1,0.75
2022-01-17 07:20:00+00:00,-1,0.75
2022-01-17 07:30:00+00:00,1,0.75
2022-01-17 07:40:00+00:00,-1,0.75
2022-01-17 08:10:00+00:00,1,0.75
2022-01-17 08:20:00+00:00,-1,0.75
2022-01-17 09:00:00+00:00,1,0.75
2022-01-17 11:00:00+00:00,-1,0.75
2022-01-17 19:00:00+00:00,1,0.75
2022-01-17 22:10:00+00:00,-1,0.75
2022-01-17 23:30:00+00:00,1,0.75
2022-01-18 07:20:00+00:00,-1,0.75
2022-01-18 22:40:00+00:00,1,0.75
2022-01-18 23:20:00+00:00,-1,0.75
2022-01-19 10:10:00+00:00,1,0.75
2022-01-20 06:50:00+00:00,-1,0.75
2022-01-20 07:20:00+00:00,1,0.75
2022-01-20 10:30:00+00:00,-1,0.75
2022-01-20 17:00:00+00:00,1,0.75
2022-01-20 19:50:00+00:00,-1,0.75
2022-01-21 11:00:00+00:00,1,0.75
2022-01-21 17:20:00+00:00,-1,0.75
2022-01-21 17:30:00+00:00,1,0.75
2022-01-21 17:50:00+00:00,-1,0.75
2022-01-24 07:10:00+00:00,1,0.75
2022-01-24 10:00:00+00:00,-1,0.75
2022-01-24 16:50:00+00:00,1,0.75
2022-01-24 17:00:00+00:00,-1,0.75
2022-01-24 17:30:00+00:00,1,0.75
2022-01-24 18:10:00+00:00,-1,0.75
2022-01-24 18:30:00+00:00,1,0.75
2022-01-24 19:40:00+00:00,-1,0.75
2022-01-24 21:10:00+00:00,1,0.75
2022-01-24 21:20:00+00:00,-1,0.75
2022-01-24 21:40:00+00:00,1,0.75
2022-01-25 11:00:00+00:00,-1,0.75
2022-01-25 11:50:00+00:00,1,0.75
2022-01-25 15:10:00+00:00,-1,0.75
2022-01-25 19:20:00+00:00,1,0.75
2022-01-26 08:00:00+00:00,-1,0.75
2022-01-26 08:50:00+00:00,1,0.75
2022-01-26 09:00:00+00:00,-1,0.75
2022-01-26 09:30:00+00:00,1,0.75
2022-01-26 10:00:00+00:00,-1,0.75
2022-01-26 12:10:00+00:00,1,0.75
2022-01-26 18:10:00+00:00,-1,0.75
