dt,side,conf
2022-02-17 12:50:00+00:00,1,0.75
2022-02-17 14:10:00+00:00,-1,0.75
2022-02-17 15:00:00+00:00,1,0.75
2022-02-17 15:50:00+00:00,-1,0.75
2022-02-18 06:50:00+00:00,1,0.75
2022-02-18 10:20:00+00:00,-1,0.75
2022-02-18 22:20:00+00:00,1,0.75
2022-02-18 23:20:00+00:00,-1,0.75
2022-02-21 07:00:00+00:00,1,0.75
2022-02-21 10:30:00+00:00,-1,0.75
2022-02-22 07:20:00+00:00,1,0.75
2022-02-22 09:50:00+00:00,-1,0.75
2022-02-22 10:20:00+00:00,1,0.75
2022-02-22 19:50:00+00:00,-1,0.75
2022-02-22 22:30:00+00:00,1,0.75
2022-02-24 06:50:00+00:00,-1,0.75
2022-02-24 12:50:00+00:00,1,0.75
2022-02-24 13:20:00+00:00,-1,0.75
2022-02-24 17:40:00+00:00,1,0.75
2022-02-24 17:50:00+00:00,-1,0.75
2022-02-24 20:30:00+00:00,1,0.75
2022-02-25 13:30:00+00:00,-1,0.75
2022-02-25 15:20:00+00:00,1,0.75
2022-02-25 20:20:00+00:00,-1,0.75
2022-03-24 09:50:00+00:00,1,0.75
2022-03-24 13:10:00+00:00,-1,0.75
2022-03-25 13:30:00+00:00,1,0.75
2022-03-28 10:00:00+00:00,-1,0.75
2022-03-28 11:20:00+00:00,1,0.75
2022-03-28 13:10:00+00:00,-1,0.75
2022-03-30 10:20:00+00:00,1,0.75
2022-03-30 12:20:00+00:00,-1,0.75
2022-03-31 10:00:00+00:00,1,0.75
2022-04-04 10:40:00+00:00,-1,0.75
2022-04-04 11:40:00+00:00,1,0.75
2022-04-04 12:00:00+00:00,-1,0.75
2022-04-04 15:20:00+00:00,1,0.75
2022-04-05 10:00:00+00:00,-1,0.75
2022-04-06 10:50:00+00:00,1,0.75
2022-04-06 16:50:00+00:00,-1,0.75
2022-04-07 10:10:00+00:00,1,0.75
2022-04-07 11:10:00+00:00,-1,0.75
2022-04-08 13:40:00+00:00,1,0.75
2022-04-08 14:10:00+00:00,-1,0.75
2022-04-08 16:50:00+00:00,1,0.75
2022-04-11 14:00:00+00:00,-1,0.75
2022-04-12 10:20:00+00:00,1,0.75
2022-04-12 10:30:00+00:00,-1,0.75
2022-04-12 15:30:00+00:00,1,0.75
2022-04-12 17:00:00+00:00,-1,0.75
2022-04-12 18:30:00+00:00,1,0.75
2022-04-13 09:50:00+00:00,-1,0.75
2022-04-15 11:00:00+00:00,1,0.75
2022-04-15 12:00:00+00:00,-1,0.75
2022-04-15 14:50:00+00:00,1,0.75
2022-04-18 10:20:00+00:00,-1,0.75
2022-04-18 16:50:00+00:00,1,0.75
2022-04-18 17:10:00+00:00,-1,0.75
2022-04-19 11:00:00+00:00,1,0.75
2022-04-19 12:00:00+00:00,-1,0.75
2022-04-19 17:20:00+00:00,1,0.75
2022-04-20 10:20:00+00:00,-1,0.75
2022-04-20 11:30:00+00:00,1,0.75
2022-04-21 10:10:00+00:00,-1,0.75
2022-04-21 13:10:00+00:00,1,0.75
2022-04-21 13:20:00+00:00,-1,0.75
2022-04-21 18:10:00+00:00,1,0.75
2022-04-22 10:20:00+00:00,-1,0.75
2022-04-22 16:20:00+00:00,1,0.75
2022-04-22 17:20:00+00:00,-1,0.75
2022-04-25 09:50:00+00:00,1,0.75
2022-04-25 11:50:00+00:00,-1,0.75
2022-04-25 12:20:00+00:00,1,0.75
2022-04-25 12:30:00+00:00,-1,0.75
2022-04-25 13:00:00+00:00,1,0.75
2022-04-25 13:10:00+00:00,-1,0.75
2022-04-25 14:20:00+00:00,1,0.75
2022-04-26 09:50:00+00:00,-1,0.75
2022-04-26 10:10:00+00:00,1,0.75
2022-04-28 15:20:00+00:00,-1,0.75
2022-04-29 10:40:00+00:00,1,0.75
2022-05-04 10:40:00+00:00,-1,0.75
