dt,side,conf
2022-01-17 07:00:00+00:00,-1,0.75
2022-01-17 09:10:00+00:00,1,0.75
2022-01-17 10:10:00+00:00,-1,0.75
2022-01-17 18:20:00+00:00,1,0.75
2022-01-18 07:20:00+00:00,-1,0.75
2022-01-18 20:20:00+00:00,1,0.75
2022-01-18 20:30:00+00:00,-1,0.75
2022-01-18 22:30:00+00:00,1,0.75
2022-01-18 23:30:00+00:00,-1,0.75
2022-01-19 09:50:00+00:00,1,0.75
2022-01-19 17:20:00+00:00,-1,0.75
2022-01-19 20:10:00+00:00,1,0.75
2022-01-20 06:50:00+00:00,-1,0.75
2022-01-20 07:10:00+00:00,1,0.75
2022-01-20 10:30:00+00:00,-1,0.75
2022-01-20 12:40:00+00:00,1,0.75
2022-01-20 13:40:00+00:00,-1,0.75
2022-01-20 14:20:00+00:00,1,0.75
2022-01-20 15:30:00+00:00,-1,0.75
2022-01-20 16:30:00+00:00,1,0.75
2022-01-20 22:30:00+00:00,-1,0.75
2022-01-21 10:00:00+00:00,1,0.75
2022-01-21 11:10:00+00:00,-1,0.75
2022-01-21 15:00:00+00:00,1,0.75
2022-01-21 16:50:00+00:00,-1,0.75
2022-01-24 08:00:00+00:00,1,0.75
2022-01-24 09:10:00+00:00,-1,0.75
2022-01-24 17:50:00+00:00,1,0.75
2022-01-24 18:10:00+00:00,-1,0.75
2022-01-24 18:30:00+00:00,1,0.75
2022-01-24 19:10:00+00:00,-1,0.75
2022-01-24 19:20:00+00:00,1,0.75
2022-01-24 19:30:00+00:00,-1,0.75
2022-01-24 21:10:00+00:00,1,0.75
2022-01-25 11:00:00+00:00,-1,0.75
2022-01-25 12:20:00+00:00,1,0.75
2022-01-25 13:50:00+00:00,-1,0.75
2022-01-25 14:00:00+00:00,1,0.75
2022-01-25 14:20:00+00:00,-1,0.75
2022-01-25 14:40:00+00:00,1,0.75
2022-01-25 15:20:00+00:00,-1,0.75
2022-01-25 20:40:00+00:00,1,0.75
2022-01-26 08:10:00+00:00,-1,0.75
2022-01-26 08:50:00+00:00,1,0.75
2022-01-26 09:00:00+00:00,-1,0.75
2022-01-26 09:40:00+00:00,1,0.75
2022-01-26 09:50:00+00:00,-1,0.75
2022-01-26 12:00:00+00:00,1,0.75
2022-01-26 18:20:00+00:00,-1,0.75
2022-01-26 21:10:00+00:00,1,0.75
2022-01-26 22:40:00+00:00,-1,0.75
2022-01-27 10:30:00+00:00,1,0.75
2022-01-27 20:30:00+00:00,-1,0.75
2022-01-27 22:00:00+00:00,1,0.75
2022-01-28 10:30:00+00:00,-1,0.75
2022-01-28 12:30:00+00:00,1,0.75
2022-01-28 15:20:00+00:00,-1,0.75
2022-01-28 16:10:00+00:00,1,0.75
2022-01-28 17:50:00+00:00,-1,0.75
2022-01-28 19:20:00+00:00,1,0.75
2022-01-28 22:10:00+00:00,-1,0.75
2022-01-31 06:50:00+00:00,1,0.75
2022-01-31 14:40:00+00:00,-1,0.75
2022-01-31 16:30:00+00:00,1,0.75
2022-01-31 17:40:00+00:00,-1,0.75
2022-01-31 19:20:00+00:00,1,0.75
2022-02-01 09:20:00+00:00,-1,0.75
2022-02-01 14:00:00+00:00,1,0.75
2022-02-01 14:10:00+00:00,-1,0.75
2022-02-01 14:30:00+00:00,1,0.75
2022-02-01 15:10:00+00:00,-1,0.75
2022-02-01 23:20:00+00:00,1,0.75
2022-02-02 10:20:00+00:00,-1,0.75
2022-02-02 14:40:00+00:00,1,0.75
2022-02-02 17:00:00+00:00,-1,0.75
2022-02-02 20:40:00+00:00,1,0.75
2022-02-03 07:00:00+00:00,-1,0.75
2022-02-03 15:10:00+00:00,1,0.75
2022-02-03 15:50:00+00:00,-1,0.75
2022-02-03 18:40:00+00:00,1,0.75
2022-02-03 20:10:00+00:00,-1,0.75
2022-02-03 20:20:00+00:00,1,0.75
2022-02-03 20:40:00+00:00,-1,0.75
2022-02-03 22:00:00+00:00,1,0.75
2022-02-03 22:10:00+00:00,-1,0.75
2022-02-04 07:10:00+00:00,1,0.75
2022-02-04 10:20:00+00:00,-1,0.75
2022-02-04 10:40:00+00:00,1,0.75
2022-02-04 14:00:00+00:00,-1,0.75
2022-02-04 15:20:00+00:00,1,0.75
2022-02-04 16:30:00+00:00,-1,0.75
2022-02-04 19:40:00+00:00,1,0.75
2022-02-07 08:40:00+00:00,-1,0.75
2022-02-07 09:30:00+00:00,1,0.75
2022-02-07 12:00:00+00:00,-1,0.75
2022-02-07 14:00:00+00:00,1,0.75
2022-02-07 17:00:00+00:00,-1,0.75
2022-02-07 19:10:00+00:00,1,0.75
2022-02-08 07:10:00+00:00,-1,0.75
2022-02-08 07:40:00+00:00,1,0.75
2022-02-08 08:30:00+00:00,-1,0.75
2022-02-08 09:00:00+00:00,1,0.75
2022-02-09 15:30:00+00:00,-1,0.75
2022-02-09 16:40:00+00:00,1,0.75
2022-02-09 20:10:00+00:00,-1,0.75
2022-02-09 20:50:00+00:00,1,0.75
2022-02-09 21:40:00+00:00,-1,0.75
2022-02-09 22:10:00+00:00,1,0.75
2022-02-09 23:00:00+00:00,-1,0.75
2022-02-09 23:30:00+00:00,1,0.75
2022-02-10 07:10:00+00:00,-1,0.75
2022-02-10 13:00:00+00:00,1,0.75
